階層1,階層2,階層3,階層4,内容,チェック
【模索中】リネンの洗濯、乾燥方法,,,,【模索中】リネンの洗濯、乾燥方法,
【模索中】リネンの洗濯、乾燥方法,作業時間中にコインランドリーで洗濯乾燥。,,,作業時間中にコインランドリーで洗濯乾燥。,
【模索中】リネンの洗濯、乾燥方法,（洗濯から乾燥までいっぺんにやってくれるタイプを使用してください）,,,（洗濯から乾燥までいっぺんにやってくれるタイプを使用してください）,
【模索中】リネンの洗濯、乾燥方法,待ち時間はもったいないからホテルに戻って作業。,,,待ち時間はもったいないからホテルに戻って作業。,
【模索中】リネンの洗濯、乾燥方法,乾燥が終わるころにまた回収しに行く。,,,乾燥が終わるころにまた回収しに行く。,
【模索中】リネンの洗濯、乾燥方法,コインランドリーで畳んで（もしくはホテルに持ち帰ってから畳んで）ホテルの引出しに収納。,,,コインランドリーで畳んで（もしくはホテルに持ち帰ってから畳んで）ホテルの引出しに収納。,
【模索中】リネンの洗濯、乾燥方法,宿泊人数多い場合は洗濯乾燥機一台に入りきらないとは思いますが、なるべく少ない台数で効率よく使用するようお願いします。「藤三」や「PECO SHOP 広中新開」の一番大きい機械だと6人分くらいなら全部入れられると思います。ただ、敷布団カバーの中にタオルなどが入り込んだり、シーツが団子になったりで、乾ききらない場合があります。その場合は乾いていないものだけ乾燥機で追加乾燥。また、一番大きい機械は2台しかないので両方他者が利用している可能性あり。,,,宿泊人数多い場合は洗濯乾燥機一台に入りきらないとは思いますが、なるべく少ない台数で効率よく使用するようお願いします。「藤三」や「PECO SHOP 広中新開」の一番大きい機械だと6人分くらいなら全部入れられると思います。ただ、敷布団カバーの中にタオルなどが入り込んだり、シーツが団子になったりで、乾ききらない場合があります。その場合は乾いていないものだけ乾燥機で追加乾燥。また、一番大きい機械は2台しかないので両方他者が利用している可能性あり。,
【模索中】リネンの洗濯、乾燥方法,コインランドリー料金はあとで返金します。領収書を西山へ。,,,コインランドリー料金はあとで返金します。領収書を西山へ。,
【模索中】リネンの洗濯、乾燥方法,もっとよい方法を募集中＆模索中です。,,,もっとよい方法を募集中＆模索中です。,
【終了時刻】,,,,【終了時刻】,
|  |,,,,|  |,
| --- |,,,,| --- |,
以下、自由記入欄,,,,以下、自由記入欄,
|  |,,,,|  |,
| --- |,,,,| --- |,
リストの修正点,,,,リストの修正点,
在庫切れになりそうなもの,,,,在庫切れになりそうなもの,
その他、気づいたことなんでも,,,,その他、気づいたことなんでも,
おわり,,,,おわり,
